ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
zoneQUARRY,worldGenerated,None,0,Empty,Default,True,"[34.500,0.000,225.400]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ZoneDirector|IdDirector
zoneQUARRY/cellQuarry_Entrance,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[92.900,8.140,189.700]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
zoneQUARRY/cellQuarry_Entrance/cellQuarry_Entrance Proxy,worldGenerated,zoneQUARRY/cellQuarry_Entrance,2,Mesh,Default,True,"[92.900,8.140,189.700]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
zoneQUARRY/cellQuarry_CaveHub,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[229.220,-4.480,174.730]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
zoneQUARRY/cellQuarry_CaveHub/cellQuarry_CaveHub Proxy,worldGenerated,zoneQUARRY/cellQuarry_CaveHub,2,Mesh,Default,True,"[229.220,-4.480,174.730]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
zoneQUARRY/cellQuarry_DonutHole,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[357.700,0.000,170.500]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
zoneQUARRY/cellQuarry_DonutHole/cellQuarry_DonutHole Proxy,worldGenerated,zoneQUARRY/cellQuarry_DonutHole,2,Mesh,Default,True,"[357.700,0.000,170.500]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
zoneQUARRY/cellQuarry_Bridgeway,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[384.900,-1.100,329.600]","[0.000,270.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
zoneQUARRY/cellQuarry_Bridgeway/cellQuarry_Bridgeway Proxy,worldGenerated,zoneQUARRY/cellQuarry_Bridgeway,2,Mesh,Default,True,"[384.900,-1.100,329.600]","[0.000,270.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
zoneQUARRY/cellQuarry_Onsen,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[385.800,-3.040,257.100]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
zoneQUARRY/cellQuarry_Onsen/cellQuarry_Onsen Proxy,worldGenerated,zoneQUARRY/cellQuarry_Onsen,2,Mesh,Default,True,"[385.800,-3.040,257.100]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
zoneQUARRY/cellQuarry_MirrorIsland,worldGenerated,zoneQUARRY,1,Empty,Default,True,"[388.500,-6.300,403.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CellDirector|Region|RegionInitializer
