ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description)"
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand02b,Mesh,4,8,"[72.9,12.22,-80.84]","[149.84,25.98,-163.65]",455.4838710646075,113.87096776615188,113.87096776615188,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_PassageLab/Sector/Cliffs/cliffBase01,Mesh,4,8,"[113.22,26.14,-199.3]","[217.64,36.28,-214.46]",424.0034264012497,106.00085660031243,106.00085660031243,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefTall01 (1),Mesh,4,8,"[90.01,12.66,-78.67]","[118.98,14.47,-178.14]",414.4744701426132,103.6186175356533,103.6186175356533,1.0,stable,huge,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Cliffs/cliffBase01B,Mesh,4,8,"[108.17,27.4,-78.91]","[43.23,29.49,-155.73]",402.4501777860211,100.61254444650527,100.61254444650527,1.0,stable,huge,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_PassageLab/Sector/Solid Filler/moundSand01,Mesh,4,8,"[222.42,18.11,-216.24]","[135.7,14.48,-201.14]",352.3985312114681,88.09963280286702,88.09963280286702,1.0,stable,huge,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_PassageLab/Sector/Solid Filler/moundSand01/Rocks,Mesh,4,8,"[222.42,18.11,-216.24]","[135.7,14.48,-201.14]",352.3985312114681,88.09963280286702,88.09963280286702,1.0,stable,huge,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_PassageLab/Sector/Mountains/mtnBluffReef01 (1)/mountaintop,Mesh,4,8,"[107.42,24.879,-196.76]","[191.921,41.42,-187.768]",346.2918941240178,86.57297353100445,86.57297353100445,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Trees/treeReef02/treeTrunk01,Mesh,4,8,"[71.07,14.211,-171.52]","[50.917,13.063,-92.135]",327.6446743165529,81.91116857913822,81.91116857913822,1.0,stable,huge,HORIZ_MID,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Trees/treeReef02/treeLeaves01,Mesh,4,8,"[70.385,29.219,-171.471]","[49.864,24.016,-93.527]",323.07150381301045,80.76787595325261,80.76787595325261,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Grotto/Sector/Mountains/mtnBluffQuar02/mountaintop,Mesh,4,8,"[316.11,34.07,-122.59]","[285.3,1.343,-63.8]",296.01558685988147,74.00389671497037,74.00389671497037,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefTall01 (2),Mesh,4,8,"[52.06,14.29,-144.17]","[88.87,12.25,-80.64]",293.8080625170112,73.4520156292528,73.4520156292528,1.0,stable,huge,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
HUD Root/HudUI/UIContainer/RadarPanel/TutorialMarkerImage(Clone),Empty,7,8,"[1683.219,946.116,0.0]","[-89.265,1133.675,0.0]",1782.3798441233005,1782.3798441233005,1782.3798441233005,0.0,unknown,unknown,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Grass/grassThinColony02,Mesh,4,8,"[103.93,12.18,-90.7]","[69.078,14.5,-167.562]",337.70546570643484,84.42636642660871,84.42636642660871,1.0,stable,large,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefTall01 (3),Mesh,4,8,"[54.64,10.69,-127.26]","[88.6,14.35,-76.63]",244.2973303169726,61.07433257924315,61.07433257924315,1.0,stable,huge,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
