ObjectName,"ObjectType (from static file, if available)",StartFrame,EndFrame,StartPosition,EndPosition,AvgSpeed,VisibilityRatio,SizeChange,RelativeSize,PathSummary
zoneDESERT/SandSea/Pillars/cliffDesert19 (3),Mesh,8,12,"[535.3,1086.3,1440.001]","[-543.3,1086.3,-196.0]",979.7802345425479,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 27573.11 world units, moving level and forward and to the left. Its horizontal displacement from start to end is about 1959.56 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (9),Mesh,8,12,"[673.001,1070.0,1125.0]","[-681.0,1070.0,119.0]",843.4089618923017,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 23735.32 world units, moving level and forward and to the left. Its horizontal displacement from start to end is about 1686.82 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (11),Mesh,8,12,"[737.1,1070.0,382.2]","[-745.101,1070.0,861.8]",778.9313134675291,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 21920.79 world units, moving level and backward and to the left. Its horizontal displacement from start to end is about 1557.86 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (10),Mesh,8,12,"[-688.301,1070.0,750.5]","[680.3,1070.0,493.5]",696.2610317260691,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 19594.27 world units, moving level and forward and to the right. Its horizontal displacement from start to end is about 1392.52 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (8),Mesh,8,12,"[-873.0,1070.0,237.0]","[381.0,1070.0,-247.0]",672.0810962971656,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 22850.76 world units, moving level and forward and to the right. Its horizontal displacement from start to end is about 1344.16 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (4),Mesh,8,12,"[676.2,1070.0,-39.0]","[657.001,1070.0,1302.201]",670.6692038557459,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 28358.75 world units, moving level and backward and to the left. Its horizontal displacement from start to end is about 1341.34 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (5),Mesh,8,12,"[843.9,1070.0,415.4]","[-210.6,1070.0,-225.9]",617.0972249167874,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 26093.52 world units, moving level and forward and to the left. Its horizontal displacement from start to end is about 1234.19 units."
zoneDESERT/SandSea/Pillars/cliffDesert19,Mesh,8,12,"[618.0,990.8,84.0]","[-542.0,990.8,0.0]",581.5187013329838,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 19771.64 world units, moving level and forward and to the left. Its horizontal displacement from start to end is about 1163.04 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (1),Mesh,8,12,"[-713.361,996.5,223.092]","[394.908,996.5,-87.36]",575.465164163957,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 24333.13 world units, moving level and forward and to the right. Its horizontal displacement from start to end is about 1150.93 units."
zoneDESERT/SandSea/Pillars/cliffDesert19 (7),Mesh,8,12,"[-773.881,993.0,472.991]","[145.009,993.0,-147.88]",554.4906741192767,1.0,stable,huge,"The object moves quickly along a primarily horizontal path. It travels roughly 23446.24 world units, moving level and forward and to the right. Its horizontal displacement from start to end is about 1108.98 units."
